country,measure,number_of_arrivals,median_time_in_port_days
World,All ships,4112944,0.97
World,Passenger ship,2227407,..
World,Wet bulk,494120,0.94
World,Container ship,454016,0.7
World,Dry breakbulk,430344,1.11
World,Dry bulk,259551,2.05
World,Roll-on/ roll-off ship,187532,..
World,Liquefied petroleum gas carriers,49357,1.02
World,Liquefied natural gas carriers,10617,1.11
Albania,All ships,2085,1.46
Albania,Passenger ship,1252,..
Albania,Wet bulk,85,1.85
Albania,Container ship,148,0.86
Albania,Dry breakbulk,482,2.03
Albania,Dry bulk,52,1.99
Albania,Roll-on/ roll-off ship,..,..
Albania,Liquefied petroleum gas carriers,66,0.9
Albania,Liquefied natural gas carriers,..,..
Algeria,All ships,5284,2.43
Algeria,Passenger ship,521,..
Algeria,Wet bulk,781,1.54
Algeria,Container ship,926,2.96
Algeria,Dry breakbulk,1721,2.5
Algeria,Dry bulk,645,6.85
Algeria,Roll-on/ roll-off ship,232,..
Algeria,Liquefied petroleum gas carriers,326,1.37
Algeria,Liquefied natural gas carriers,132,1.07
American Samoa,All ships,148,0.74
American Samoa,Passenger ship,..,..
American Samoa,Wet bulk,..,..
American Samoa,Container ship,87,0.99
American Samoa,Dry breakbulk,61,0.57
American Samoa,Dry bulk,..,..
American Samoa,Roll-on/ roll-off ship,..,..
American Samoa,Liquefied petroleum gas carriers,..,..
American Samoa,Liquefied natural gas carriers,..,..
Angola,All ships,1685,1.87
Angola,Passenger ship,..,..
Angola,Wet bulk,485,1.28
Angola,Container ship,435,1.79
Angola,Dry breakbulk,397,2.06
Angola,Dry bulk,53,8.56
Angola,Roll-on/ roll-off ship,60,..
Angola,Liquefied petroleum gas carriers,196,1.87
Angola,Liquefied natural gas carriers,59,1.36
Antigua and Barbuda,All ships,833,0.67
Antigua and Barbuda,Passenger ship,377,..
Antigua and Barbuda,Wet bulk,192,1.06
Antigua and Barbuda,Container ship,..,..
Antigua and Barbuda,Dry breakbulk,171,0.38
Antigua and Barbuda,Dry bulk,..,..
Antigua and Barbuda,Roll-on/ roll-off ship,93,..
Antigua and Barbuda,Liquefied petroleum gas carriers,..,..
