country,year,area,sex,age,population
Andorra,2019,Total,Both Sexes,Total,76177
Andorra,2019,Total,Both Sexes,0 - 4,2719
Andorra,2019,Total,Both Sexes,5 - 9,3823
Andorra,2019,Total,Both Sexes,10 - 14,4027
Andorra,2019,Total,Both Sexes,15 - 19,4077
Andorra,2019,Total,Both Sexes,20 - 24,4005
Andorra,2019,Total,Both Sexes,25 - 29,4570
Andorra,2019,Total,Both Sexes,30 - 34,5062
Andorra,2019,Total,Both Sexes,35 - 39,6269
Andorra,2019,Total,Both Sexes,40 - 44,7035
Andorra,2019,Total,Both Sexes,45 - 49,7083
Andorra,2019,Total,Both Sexes,50 - 54,6792
Andorra,2019,Total,Both Sexes,55 - 59,5926
Andorra,2019,Total,Both Sexes,60 - 64,4443
Andorra,2019,Total,Both Sexes,65 - 69,3333
Andorra,2019,Total,Both Sexes,70 - 74,2668
Andorra,2019,Total,Both Sexes,75 - 79,1785
Andorra,2019,Total,Both Sexes,80 - 84,1190
Andorra,2019,Total,Both Sexes,85 +,1370
Andorra,2019,Total,Male,Total,38789
Andorra,2019,Total,Male,0 - 4,1391
Andorra,2019,Total,Male,5 - 9,1912
Andorra,2019,Total,Male,10 - 14,2124
Andorra,2019,Total,Male,15 - 19,2096
Andorra,2019,Total,Male,20 - 24,2164
Andorra,2019,Total,Male,25 - 29,2356
Andorra,2019,Total,Male,30 - 34,2563
Andorra,2019,Total,Male,35 - 39,3125
Andorra,2019,Total,Male,40 - 44,3511
Andorra,2019,Total,Male,45 - 49,3628
Andorra,2019,Total,Male,50 - 54,3524
Andorra,2019,Total,Male,55 - 59,3062
Andorra,2019,Total,Male,60 - 64,2322
Andorra,2019,Total,Male,65 - 69,1719
Andorra,2019,Total,Male,70 - 74,1416
Andorra,2019,Total,Male,75 - 79,832
Andorra,2019,Total,Male,80 - 84,524
Andorra,2019,Total,Male,85 +,520
Andorra,2019,Total,Female,Total,37388
Andorra,2019,Total,Female,0 - 4,1328
Andorra,2019,Total,Female,5 - 9,1911
Andorra,2019,Total,Female,10 - 14,1903
Andorra,2019,Total,Female,15 - 19,1981
Andorra,2019,Total,Female,20 - 24,1841
Andorra,2019,Total,Female,25 - 29,2214
Andorra,2019,Total,Female,30 - 34,2499
Andorra,2019,Total,Female,35 - 39,3144
Andorra,2019,Total,Female,40 - 44,3524
Andorra,2019,Total,Female,45 - 49,3455
Andorra,2019,Total,Female,50 - 54,3268
Andorra,2019,Total,Female,55 - 59,2864
Andorra,2019,Total,Female,60 - 64,2121
Andorra,2019,Total,Female,65 - 69,1614
Andorra,2019,Total,Female,70 - 74,1252
Andorra,2019,Total,Female,75 - 79,953
Andorra,2019,Total,Female,80 - 84,666
Andorra,2019,Total,Female,85 +,850
Antigua and Barbuda,2019,Total,Both Sexes,Total,96453
Antigua and Barbuda,2019,Total,Both Sexes,0 - 4,6870
Antigua and Barbuda,2019,Total,Both Sexes,5 - 9,6837
Antigua and Barbuda,2019,Total,Both Sexes,10 - 14,7013
Antigua and Barbuda,2019,Total,Both Sexes,15 - 19,7109
Antigua and Barbuda,2019,Total,Both Sexes,20 - 24,7841
Antigua and Barbuda,2019,Total,Both Sexes,25 - 29,7465
Antigua and Barbuda,2019,Total,Both Sexes,30 - 34,7096
Antigua and Barbuda,2019,Total,Both Sexes,35 - 39,7020
Antigua and Barbuda,2019,Total,Both Sexes,40 - 44,6966
Antigua and Barbuda,2019,Total,Both Sexes,45 - 49,6956
Antigua and Barbuda,2019,Total,Both Sexes,50 - 54,6636
Antigua and Barbuda,2019,Total,Both Sexes,55 - 59,5774
Antigua and Barbuda,2019,Total,Both Sexes,60 - 64,4325
Antigua and Barbuda,2019,Total,Both Sexes,65 - 69,3079
Antigua and Barbuda,2019,Total,Both Sexes,70 - 74,2293
Antigua and Barbuda,2019,Total,Both Sexes,75 - 79,1450
Antigua and Barbuda,2019,Total,Both Sexes,80 - 84,739
Antigua and Barbuda,2019,Total,Both Sexes,85 - 89,635
Antigua and Barbuda,2019,Total,Both Sexes,90 - 94,243
Antigua and Barbuda,2019,Total,Both Sexes,95 +,106
Antigua and Barbuda,2019,Total,Male,Total,46180
Antigua and Barbuda,2019,Total,Male,0 - 4,3468
Antigua and Barbuda,2019,Total,Male,5 - 9,3446
Antigua and Barbuda,2019,Total,Male,10 - 14,3572
Antigua and Barbuda,2019,Total,Male,15 - 19,3589
Antigua and Barbuda,2019,Total,Male,20 - 24,3934
Antigua and Barbuda,2019,Total,Male,25 - 29,3680
Antigua and Barbuda,2019,Total,Male,30 - 34,3364
Antigua and Barbuda,2019,Total,Male,35 - 39,3284
Antigua and Barbuda,2019,Total,Male,40 - 44,3209
Antigua and Barbuda,2019,Total,Male,45 - 49,3164
Antigua and Barbuda,2019,Total,Male,50 - 54,3074
Antigua and Barbuda,2019,Total,Male,55 - 59,2659
Antigua and Barbuda,2019,Total,Male,60 - 64,2009
Antigua and Barbuda,2019,Total,Male,65 - 69,1409
Antigua and Barbuda,2019,Total,Male,70 - 74,1022
Antigua and Barbuda,2019,Total,Male,75 - 79,634
Antigua and Barbuda,2019,Total,Male,80 - 84,307
Antigua and Barbuda,2019,Total,Male,85 - 89,243
Antigua and Barbuda,2019,Total,Male,90 - 94,82
Antigua and Barbuda,2019,Total,Male,95 +,31
Antigua and Barbuda,2019,Total,Female,Total,50273
Antigua and Barbuda,2019,Total,Female,0 - 4,3402
Antigua and Barbuda,2019,Total,Female,5 - 9,3391
Antigua and Barbuda,2019,Total,Female,10 - 14,3441
Antigua and Barbuda,2019,Total,Female,15 - 19,3520
Antigua and Barbuda,2019,Total,Female,20 - 24,3907
Antigua and Barbuda,2019,Total,Female,25 - 29,3785
Antigua and Barbuda,2019,Total,Female,30 - 34,3732
Antigua and Barbuda,2019,Total,Female,35 - 39,3736
Antigua and Barbuda,2019,Total,Female,40 - 44,3757
Antigua and Barbuda,2019,Total,Female,45 - 49,3792
Antigua and Barbuda,2019,Total,Female,50 - 54,3562
Antigua and Barbuda,2019,Total,Female,55 - 59,3115
Antigua and Barbuda,2019,Total,Female,60 - 64,2316
Antigua and Barbuda,2019,Total,Female,65 - 69,1670
Antigua and Barbuda,2019,Total,Female,70 - 74,1271
Antigua and Barbuda,2019,Total,Female,75 - 79,816
Antigua and Barbuda,2019,Total,Female,80 - 84,432
Antigua and Barbuda,2019,Total,Female,85 - 89,392
Antigua and Barbuda,2019,Total,Female,90 - 94,161
Antigua and Barbuda,2019,Total,Female,95 +,75
Argentina,2019,Total,Both Sexes,Total,44938712
Argentina,2019,Total,Both Sexes,0,740709
Argentina,2019,Total,Both Sexes,0 - 4,3726162
Argentina,2019,Total,Both Sexes,1,743308
Argentina,2019,Total,Both Sexes,1 - 4,2985453
Argentina,2019,Total,Both Sexes,2,745579
Argentina,2019,Total,Both Sexes,3,747234
Argentina,2019,Total,Both Sexes,4,749332
Argentina,2019,Total,Both Sexes,5,751846
Argentina,2019,Total,Both Sexes,5 - 9,3743931
Argentina,2019,Total,Both Sexes,6,753532
Argentina,2019,Total,Both Sexes,7,754272
Argentina,2019,Total,Both Sexes,8,754243
Argentina,2019,Total,Both Sexes,9,730038
Argentina,2019,Total,Both Sexes,10,719370
Argentina,2019,Total,Both Sexes,10 - 14,3542513
Argentina,2019,Total,Both Sexes,11,712160
Argentina,2019,Total,Both Sexes,12,706506
Argentina,2019,Total,Both Sexes,13,703092
Argentina,2019,Total,Both Sexes,14,701385
Argentina,2019,Total,Both Sexes,15,700881
Argentina,2019,Total,Both Sexes,15 - 19,3508965
Argentina,2019,Total,Both Sexes,16,701126
Argentina,2019,Total,Both Sexes,17,701674
Argentina,2019,Total,Both Sexes,18,702273
Argentina,2019,Total,Both Sexes,19,703011
Argentina,2019,Total,Both Sexes,20,704205
Argentina,2019,Total,Both Sexes,20 - 24,3548389
Argentina,2019,Total,Both Sexes,21,706169
Argentina,2019,Total,Both Sexes,22,709303
Argentina,2019,Total,Both Sexes,23,712998
Argentina,2019,Total,Both Sexes,24,715714
Argentina,2019,Total,Both Sexes,25,716055
Argentina,2019,Total,Both Sexes,25 - 29,3522333
Argentina,2019,Total,Both Sexes,26,713424
Argentina,2019,Total,Both Sexes,27,707262
Argentina,2019,Total,Both Sexes,28,698065
Argentina,2019,Total,Both Sexes,29,687527
Argentina,2019,Total,Both Sexes,30,677072
Argentina,2019,Total,Both Sexes,30 - 34,3287553
Argentina,2019,Total,Both Sexes,31,666944
Argentina,2019,Total,Both Sexes,32,657094
Argentina,2019,Total,Both Sexes,33,647633
Argentina,2019,Total,Both Sexes,34,638810
Argentina,2019,Total,Both Sexes,35,631491
Argentina,2019,Total,Both Sexes,35 - 39,3141871
Argentina,2019,Total,Both Sexes,36,626897
Argentina,2019,Total,Both Sexes,37,625994
Argentina,2019,Total,Both Sexes,38,627667
Argentina,2019,Total,Both Sexes,39,629822
Argentina,2019,Total,Both Sexes,40,628986
Argentina,2019,Total,Both Sexes,40 - 44,3027334
Argentina,2019,Total,Both Sexes,41,622983
Argentina,2019,Total,Both Sexes,42,610387
