country,code,income,cigarette_consumption
Andorra,AND,HIGH,6398.30000252273
Lux. ,LUX,HIGH,6330.87275071208
Belarus,BLR,MIDDLE,2911.29789859527
FYR Macedonia,MKD,MIDDLE,2784.92825057467
Albania,ALB,MIDDLE,2491.59923222
Belgium,BEL,HIGH,2440.88000086208
Czech Rep.,CZE,HIGH,2427.88273718084
Jordan,JOR,MIDDLE,2306.09310207837
Russian Federation,RUS,MIDDLE,2294.96223415033
Syrian Arab Rep. ,SYR,MIDDLE,2291.74262265683
Slovenia,SVN,HIGH,2236.47996586074
Greece,GRC,HIGH,2078.55348350581
Hungary,HUN,HIGH,2060.33948595176
China,CHN,MIDDLE,2043.00655317423
Lebanon,LBN,MIDDLE,2037.53503604229
Armenia,ARM,MIDDLE,1985.66779553815
Mongolia,MNG,MIDDLE,1982.45283986264
Cyprus,CYP,HIGH,1961.35229970149
Austria,AUT,HIGH,1926.95176356546
Georgia,GEO,MIDDLE,1917.72495351458
Serbia ,SRB,MIDDLE,1898.57088698689
Ukraine,UKR,MIDDLE,1849.40507404813
Kazakhstan,KAZ,MIDDLE,1800.87673454467
Turkey,TUR,MIDDLE,1770.72915780026
Bosnia and Herzegovina,BIH,MIDDLE,1767.15838870014
Estonia,EST,HIGH,1759.90915755332
Bulgaria,BGR,MIDDLE,1757.25277727853
Rep. Moldova,MDA,MIDDLE,1747.2176123975
Papua New Guinea,PNG,MIDDLE,1689.30097855477
Indonesia,IDN,MIDDLE,1675.48815941294
Rep. Korea,KOR,HIGH,1667.39187001133
Germany,DEU,HIGH,1599.51621315696
Japan,JPN,HIGH,1583.16455560449
Tunisia,TUN,MIDDLE,1579.95017988485
Croatia,HRV,HIGH,1578.88142157263
Malta,MLT,HIGH,1527.90030092305
Azerbaijan,AZE,MIDDLE,1525.56690636188
Slovakia,SVK,HIGH,1500.89838303244
Spain,ESP,HIGH,1498.99361556605
Italy,ITA,HIGH,1493.27036239754
Switz.,CHE,HIGH,1489.79612122246
Samoa,WSM,MIDDLE,1470.64826419915
Netherlands,NLD,HIGH,1459.86761707245
Egypt,EGY,MIDDLE,1449.41041767633
Solomon Islands,SLB,MIDDLE,1419.12718900507
Kuwait,KWT,HIGH,1412.67961494197
Kiribati,KIR,MIDDLE,1396.04157173092
Poland,POL,HIGH,1363.10416129243
Saudi Arabia,SAU,HIGH,1340.95632182774
Denmark,DNK,HIGH,1298.03935005252
Lithuania,LTU,HIGH,1292.01667137452
Israel,ISR,HIGH,1280.73133960997
Romania,ROU,MIDDLE,1204.26567689215
Latvia,LVA,HIGH,1189.08520533228
Iraq,IRQ,MIDDLE,1184.43919134223
Argentina,ARG,MIDDLE,1176.13308206321
Portugal,PRT,HIGH,1133.38599407747
Philippines,PHL,MIDDLE,1132.24094873949
Bahrain,BHR,HIGH,1101.4973499516
Montenegro,MNE,MIDDLE,1100.83077386426
Finland,FIN,HIGH,1098.80409344331
France,FRA,HIGH,1089.86833299557
Vanuatu,VUT,MIDDLE,1069.16285416815
Viet Nam,VNM,MIDDLE,1049.57105077546
