,country,count,rate
,Afghanistan,30000,84.4356881508584
,Albania,5674,193.651877133106
,Algeria,60000,145.215160462752
,American Samoa,193,344.642857142857
,Andorra,52,67.5324675324675
,Anguilla,55,366.666666666667
,Antigua and Barbuda,305,299.019607843137
,Argentina,85283,192.638521831447
,Armenia,3536,120.682593856655
,Australia,41202,168.508445462353
,Austria,8692,99.5077275329136
,Azerbaijan,23319,237.271062271062
,Bahrain,3485,233.422638981916
,Bangladesh,88424,53.6976984271573
,Barbados,874,305.594405594406
,Belarus,32500,343.261512463033
,Belgium,10073,88.1354449208155
,Belize,1297,345.866666666667
,Benin,7801,69.8013600572656
,Bolivia (Plurinational State of),17946,162.377850162866
,Botswana,4343,189.485165794066
,Brazil,700489,334.700986200833
,Bulgaria,6988,98.6309103740297
,Burundi,10093,92.9031664212077
,Cabo Verde,1542,282.417582417582
,Cambodia,31008,193.739456419869
,Cayman Islands,253,408.064516129032
,Chile,41762,231.304347826087
,China,8306,112.776646300068
,Macao Special Administrative Region of China,1284,206.099518459069
,Colombia,119491,243.531162108181
,Comoros,191,23.4643734643735
,Costa Rica,14224,289.930697105585
,Côte d'Ivoire,13767,56.6659806544557
,Cyprus,592,50.1694915254237
,Czech republic,22159,208.692785835374
,Denmark,3635,63.3937914196024
,Dominican Republic,26286,244.134856505991
,Ecuador,37497,225.545864661654
,El Salvador,38330,600.972091564754
,Estonia,2576,196.641221374046
,Faroe Islands,6,12.2448979591837
,Finland,3082,55.8030056128915
,France,68974,106.146506617421
,French Guiana,726,256.537102473498
,French Polynesia,569,201.060070671378
,Georgia,9990,255.368098159509
,Germany,62902,76.6032588839905
,Ghana,14846,51.487826871055
,Greece,10011,89.7043010752688
,Greenland,139,248.214285714286
,Guadeloupe,956,212.444444444444
,Guam,667,406.707317073171
,Guatemala,24386,144.176421899019
,Guinea,3200,25.1631674136982
,Guinea-Bissau,596,32.0257925846319
,Guyana,2226,286.118251928021
,Haiti,8882,80.8851652854931
,Honduras,19335,208.688613059903
,Hungary,17343,178.389220325036
,Iceland,131,39.1044776119403
,Indonesia,246005,93.1868889469717
,Iran,230000,283.380358044922
,Ireland,3738,78.4964300713986
,Isle of Man,106,126.190476190476
,Israel,19325,232.215813506369
,Italy,59655,100.496967654987
,Jamaica,3857,133.460207612457
,Japan,51805,40.6364720278623
,Jordan,15700,161.822304679448
,Kazakhstan,33989,186.711711711712
,Kenya,51021,102.657947686117
,Kuwait,6000,145.032632342277
,Kyrgyzstan,10574,174.921422663358
,Latvia,3765,193.076923076923
,Lebanon,6458,106.182176915488
,Liberia,2211,46.7244294167371
,Liechtenstein,73,192.105263157895
,Lithuania,6599,228.339100346021
,Luxembourg,650,111.492281303602
,Madagascar,20975,82.0265144108561
,Malawi,14795,79.4490387713457
,Malaysia,55413,175.22451302808
,Maldives,1852,424.770642201835
,Malta,588,136.426914153132
,Martinique,870,225.974025974026
,Mauritius,2560,202.371541501976
,Mayotte,293,115.810276679842
,Mexico,181999,140.906451537979
,Monaco,29,74.3589743589744
,Mongolia,3869,125.780234070221
,Montenegro,1119,177.901430842607
,Morocco,83102,232.518186905428
,Mozambique,18185,61.292932016583
,Myanmar,79668,149.272076595904
,Nepal,18881,64.429278280157
,Netherlands,10464,61.4228692181263
,New Caledonia,549,198.913043478261
,New Zealand,10435,221.738206544836
,Nigeria,75772,39.6948964303301
,Norway,3373,63.5815268614515
,Pakistan,83718,42.4929954927519
,Palau,87,395.454545454545
,Panama,16155,394.120517199317
,Paraguay,14061,206.445455880194
,Peru,89494,278.234105394062
,Poland,74480,195.121951219512
,Portugal,13587,131.529525653437
,Puerto Rico,10039,274.064974064974
,Republic of Korea,55198,108.269585343847
,Republic of Moldova,7510,185.386324364354
,Réunion,1060,120.866590649943
,Romania,23450,119.162559073124
,Russian Federation,602176,418.20681991805
,Rwanda,61000,499.672346002621
,Saint Kitts and Nevis,220,400
,Saint Lucia,527,294.413407821229
,Saint Vincent and the Grenadines,469,426.363636363636
,Samoa,400,204.081632653061
,San Marino,3,9.09090909090909
,Sao Tome and Principe,251,123.039215686275
,Saudi Arabia,68056,206.618495354909
,Senegal,9321,58.8038609551448
,Serbia,10807,122.932544647935
,Seychelles,423,445.263157894737
,Sierra Leone,4519,59.7988619822681
,Singapore,11691,204.781923279033
,Sint Maarten (Dutch part),120,300
,Slovakia,10478,192.327459618209
,Slovenia,1316,63.2692307692308
,Solomon Islands,477,78.0687397708674
,South Africa,158111,278.77179681577
,Spain,58814,126.880096647539
,Sri Lanka,20598,98.6636010921109
,Sudan,21000,51.8096365924062
,Sweden,5713,57.6430229038442
,Switzerland,6564,77.4421897121284
,"China, Taiwan Province of China",62634,265.822742906704
,Thailand,372979,540.251745415568
,North Macedonia,3031,145.511281805089
,Timor-Leste,659,50.8487654320988
,Togo,4859,62.3108489356245
,Trinidad and Tobago,3999,292.111029948868
,Tunisia,20755,179.97745404093
,Turkey,260000,322.001362313456
,Turkmenistan,30452,528.864188954498
,Uganda,54059,126.120430207872
,Ukraine,57100,129.118332089637
,United Kingdom,92568,369.259529827263
,Uruguay,11078,320.451258316459
,Venezuela,57096,178.553335209682
,Vietnam,130002,136.069331491192
,Zambia,25000,146.250146250146
,Zimbabwe,19521,118.094373865699
